                   location                    crops growth_stage environment  season                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      recommendation
0    Faisalabad, Punjab, PK    [Pepper, Corn, Grape]    Flowering      Indoor  Autumn                                        For Pepper, Corn, Grape in Faisalabad, Punjab, PK during Autumn at Flowering stage in Indoor environment, Use Three Sisters method with beans and squash for natural support and nutrient boost. Companion with onions to deter aphids. Provide support for heavy fruiting plants. Train vines on trellis for good air circulation. Watch for powdery mildew in humid conditions. Monitor for local pests common in Punjab like fruit flies or aphids, and use organic pesticides if needed.
1   Attock City, Punjab, PK   [Pepper, Corn, Potato]    Flowering      Indoor  Spring                                       For Pepper, Corn, Potato in Attock City, Punjab, PK during Spring at Flowering stage in Indoor environment, Avoid planting near tomatoes to prevent blight. Hill up soil to protect tubers from sunlight. Use Three Sisters method with beans and squash for natural support and nutrient boost. Companion with onions to deter aphids. Provide support for heavy fruiting plants. Monitor for local pests common in Punjab like fruit flies or aphids, and use organic pesticides if needed.
2    Rawalpindi, Punjab, PK                  [Apple]    Flowering     Outdoor  Summer                                                                                                                                                                                                                                       For Apple in Rawalpindi, Punjab, PK during Summer at Flowering stage in Outdoor environment, Plant garlic nearby to repel codling moths. Prune in dormant season for better yield. Monitor for local pests common in Punjab like fruit flies or aphids, and use organic pesticides if needed.
3   Attock City, Punjab, PK                   [Corn]   Vegetative     Outdoor  Spring                                                                                                                                                                                                                                     For Corn in Attock City, Punjab, PK during Spring at Vegetative stage in Outdoor environment, Use Three Sisters method with beans and squash for natural support and nutrient boost. Monitor for local pests common in Punjab like fruit flies or aphids, and use organic pesticides if needed.
4        Lahore, Punjab, PK                 [Tomato]    Flowering     Outdoor  Autumn                                                                                                                                                                                                         For Tomato in Lahore, Punjab, PK during Autumn at Flowering stage in Outdoor environment, plant basil as companion to repel hornworms and improve flavor. Ensure consistent watering to prevent blossom end rot. Monitor for local pests common in Punjab like fruit flies or aphids, and use organic pesticides if needed.
5    Faisalabad, Punjab, PK                 [Potato]    Flowering     Outdoor  Winter                                                                                                                                                                                                                              For Potato in Faisalabad, Punjab, PK during Winter at Flowering stage in Outdoor environment, Avoid planting near tomatoes to prevent blight. Hill up soil to protect tubers from sunlight. Monitor for local pests common in Punjab like fruit flies or aphids, and use organic pesticides if needed.
6    Rawalpindi, Punjab, PK           [Corn, Potato]   Vegetative     Outdoor  Spring                                                                                                                                For Corn, Potato in Rawalpindi, Punjab, PK during Spring at Vegetative stage in Outdoor environment, Avoid planting near tomatoes to prevent blight. Hill up soil to protect tubers from sunlight. Use Three Sisters method with beans and squash for natural support and nutrient boost. Monitor for local pests common in Punjab like fruit flies or aphids, and use organic pesticides if needed.
7    Rawalpindi, Punjab, PK    [Grape, Corn, Tomato]   Vegetative      Indoor  Spring  For Grape, Corn, Tomato in Rawalpindi, Punjab, PK during Spring at Vegetative stage in Indoor environment, plant basil as companion to repel hornworms and improve flavor. Ensure consistent watering to prevent blossom end rot. Use Three Sisters method with beans and squash for natural support and nutrient boost. Train vines on trellis for good air circulation. Watch for powdery mildew in humid conditions. Monitor for local pests common in Punjab like fruit flies or aphids, and use organic pesticides if needed.
8        Lahore, Punjab, PK     [Apple, Corn, Grape]   Vegetative      Indoor  Summer                                        For Apple, Corn, Grape in Lahore, Punjab, PK during Summer at Vegetative stage in Indoor environment, Use Three Sisters method with beans and squash for natural support and nutrient boost. Plant garlic nearby to repel codling moths. Prune in dormant season for better yield. Train vines on trellis for good air circulation. Watch for powdery mildew in humid conditions. Monitor for local pests common in Punjab like fruit flies or aphids, and use organic pesticides if needed.
9    Faisalabad, Punjab, PK          [Tomato, Grape]     Seedling      Indoor  Spring                                                                                                 For Tomato, Grape in Faisalabad, Punjab, PK during Spring at Seedling stage in Indoor environment, plant basil as companion to repel hornworms and improve flavor. Ensure consistent watering to prevent blossom end rot. Train vines on trellis for good air circulation. Watch for powdery mildew in humid conditions. Monitor for local pests common in Punjab like fruit flies or aphids, and use organic pesticides if needed.
